DrugBank_ID,Drug_Name,Formula,Frequency,Mean_Energy,Best_Energy,Mean_Rank,Files_Found
DB00425,Zolpidem,C19H21N3O,5,-8.6,-8.6,60,"M1, M2, M3, M4, M5"
DB00714,Apomorphine,C17H17NO2,5,-8.6,-8.6,63,"M1, M2, M3, M4, M5"
DB00715,Paroxetine,C19H20FNO3,5,-8.6,-8.6,65.2,"M1, M2, M3, M4, M5"
DB00924,Cyclobenzaprine,C20H21N,5,-8.58,-8.6,63.4,"M1, M2, M3, M4, M5"
DB00470,Dronabinol,C21H30O2,5,-8.5,-8.5,74,"M1, M2, M3, M4, M5"
DB00731,Nateglinide,C19H27NO3,5,-8.5,-8.5,79.4,"M1, M2, M3, M4, M5"
DB01025,Amlexanox,C16H14N2O4,5,-8.42,-8.5,80.2,"M1, M2, M3, M4, M5"
DB01708,Prasterone,C19H28O2,5,-8.4,-8.4,84.8,"M1, M2, M3, M4, M5"
DB08801,Dimetindene,C20H24N2,5,-8.4,-8.4,88.4,"M1, M2, M3, M4, M5"
DB00972,Azelastine,C22H24ClN3O,4,-9.675,-9.9,9.5,"EM1, M1, M3, M5"
DB00210,Adapalene,C28H28O3,4,-9.425,-9.9,27.75,"EM1, EM2, EM3, M5"
DB12887,Tazemetostat,C34H44N4O4,4,-9.35,-9.4,17.75,"EM1, M1, M3, M4"
DB00496,Darifenacin,C28H30N2O2,4,-9.275,-9.8,30.25,"EM1, EM2, EM3, M2"
DB00984,Nandrolone phenpropionate,C27H34O3,4,-9.275,-9.3,24.5,"EM1, EM2, EM3, M2"
DB08907,Canagliflozin,C24H25FO5S,4,-9.25,-9.3,17.5,"M1, M3, M4, M5"
DB00673,Aprepitant,C23H21F7N4O3,4,-9.1,-9.4,34.75,"EM1, EM3, M1, M3"
DB09053,Ibrutinib,C25H24N6O2,4,-9.1,-9.2,36,"EM2, EM3, M1, M4"
DB01251,Gliquidone,C27H33N3O6S,4,-9.025,-9.3,47,"EM1, EM2, EM3, M3"
DB00910,Paricalcitol,C27H44O3,4,-9,-9,28.5,"M1, M2, M3, M4"
DB13954,Estradiol cypionate,C26H36O3,4,-8.9,-9.1,56.25,"EM1, EM2, EM3, M2"
DB00246,Ziprasidone,C21H21ClN4OS,4,-8.875,-9.4,52.25,"EM2, M3, M4, M5"
DB01126,Dutasteride,C27H30F6N2O2,4,-8.875,-9.2,51.25,"EM1, EM3, M4, M5"
DB04835,Maraviroc,C29H41F2N5O,4,-8.825,-9.3,67.75,"EM1, EM2, EM3, M4"
DB09335,Alatrofloxacin,C26H25F3N6O5,4,-8.775,-8.9,67.5,"EM1, EM3, M3, M5"
DB00377,Palonosetron,C19H24N2O,4,-8.7,-8.8,81.75,"EM1, EM2, EM3, M1"
DB00502,Haloperidol,C21H23ClFNO2,4,-8.7,-8.7,55,"M1, M3, M4, M5"
DB13874,Enasidenib,C19H17F6N7O,4,-8.7,-9.1,69.5,"EM1, EM3, M2, M5"
